"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "1:Default" "2:Visual_2" -0.0383799445835607 0.303623694052745 0.76141459802392 0.00755629247355041 0.993971008271947 1 1 84 0.923445288464467
"2" "1:Default" "3:Fronto_Parietal" -0.0529699319379194 -0.438151041111299 0.661276796450252 0 1 2 1 84 0.923445288464467
"3" "1:Default" "4.5:Visual_1" -0.0996674868235752 -0.855894237186353 0.392056282846543 0 1 2 1 84 0.92125806493013
"4" "1:Default" "5:Dorsal_Attention" 0.318546334920936 1.59566035438846 0.110564644608426 -0.0191449519078321 0.984725471554534 1 1 84 0.529861395782366
"5" "1:Default" "7:Ventral_Attention" 0.073420672634618 0.387362035196042 0.698488205667769 -0.00710211586962753 0.994333379036072 1 1 84 0.923445288464467
"6" "1:Default" "8:Salience" 0.0613408965380576 0.543822995254014 0.586563283198509 0 1 2 1 84 0.921742302169086
"7" "1:Default" "9:Cingulo_opercular" 0.0649388027918333 1.54019816642444 0.123512056722352 0 1 2 1 84 0.529861395782366
"8" "1:Default" "10:Somatomotor" -0.13902010671527 -0.462412639135116 0.643785437258926 0.026742455374552 0.978665150736948 1 1 84 0.923445288464467
"9" "1:Default" "11.5:Fronto_Parietal_2" 0.0517199249861722 0.585528643964403 0.558192312239411 0 1 2 1 84 0.921742302169086
"10" "1:Default" "15:Medial_Parietal" -0.141183598836882 -1.32819955137493 0.184112192585117 0 1 2 1 84 0.607570235530886
"11" "1:Default" "16:Parieto_Occipital" 0.0514705306568418 0.25039425095876 0.802282475115339 0 1 2 1 84 0.923445288464467
"12" "2:Visual_2" "1:Default" -0.0383799445835607 -0.513200138548581 0.607811329056933 0 1 2 1 84 0.922196499258795
"13" "2:Visual_2" "3:Fronto_Parietal" 0.389769773859631 3.87696720403901 0.000105766608385865 0 1 2 1 84 0.00349029807673355
"14" "2:Visual_2" "4.5:Visual_1" 0.198008941630503 1.82707751032489 0.067688116152073 0 1 2 1 84 0.372284638836402
"15" "2:Visual_2" "5:Dorsal_Attention" -0.0779955089785249 -0.694582273242839 0.487317124587609 0 1 2 1 84 0.921742302169086
