"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "panas.positive" "xylulose" 0.0381976557979645 0.225622812277319 0.821494796675632 0 1 1 1 45 0.989994033295404
"2" "panas.positive" "xylose" 0.0428183693334889 0.220398926318806 0.825560481528856 0 1 1 1 45 0.989994033295404
"3" "panas.positive" "valine" -0.223579108446197 -1.13227214941241 0.257520035245149 0 1 4 1 45 0.955145544405607
"4" "panas.positive" "uridine" 0.00996818020845845 0.0911373370974281 0.927383465364601 0 1 1 1 45 0.997232108500354
"5" "panas.positive" "uric acid" -0.0320477266435773 -0.39344268463791 0.693992548546481 0 1 1 1 45 0.989751526660026
"6" "panas.positive" "urea" 0.043026685448618 0.0653828848611303 0.947869150821096 0 1 1 3 45 0.997232108500354
"7" "panas.positive" "tyrosine" -0.411286528441431 -2.96469209643451 0.00302986013396749 0 1 1 1 45 0.217933511064662
"8" "panas.positive" "tryptophan" -0.10239887274897 -0.659779635677947 0.509395253494854 0 1 1 1 45 0.985195155308122
"9" "panas.positive" "trans-4-hydroxyproline" 0.00429426197431443 0.0480323901531645 0.961690428780105 0 1 1 1 45 0.997232108500354
"10" "panas.positive" "tocopherol gamma-" -0.188041422800247 -0.948912380646484 0.342665177203748 0 1 1 2 45 0.962086959635296
"11" "panas.positive" "tocopherol alpha-" -0.147402981919501 -1.02750093614897 0.304184644853391 0 1 1 1 45 0.962086959635296
"12" "panas.positive" "threonine" -0.166954068967567 -1.10147262653296 0.270691011736153 0 1 1 1 45 0.959424820929959
"13" "panas.positive" "threonic acid " -0.0656976581948857 -0.0608873357477635 0.951448935342121 0 1 1 2 45 0.997232108500354
"14" "panas.positive" "threitol" 0.0953011778060119 0.656995143438043 0.511184039220545 0 1 1 1 45 0.985195155308122
"15" "panas.positive" "taurine" 0.0861286329788303 0.615166893576525 0.538444508934597 0 1 1 1 45 0.985195155308122
"16" "panas.positive" "sucrose" -0.0623891157741551 -0.371438502001717 0.71031095294819 0 1 1 1 45 0.989994033295404
"17" "panas.positive" "succinic acid" -0.187471771567262 -1.27562786567486 0.202087098818919 0 1 1 1 45 0.908458732505143
"18" "panas.positive" "stearic acid" 0.299706855199698 2.21555880405243 0.0267217328626963 0 1 1 2 45 0.586882170986634
"19" "panas.positive" "shikimic acid" -0.00783381840998958 -0.0462590008279231 0.963103816904208 0 1 1 1 45 0.997232108500354
"20" "panas.positive" "serine" -0.0267887392614415 -0.148158175553533 0.882217938536698 0 1 1 1 45 0.995398839334964
"21" "panas.positive" "pyrophosphate" -0.243173933566995 -1.28583890707066 0.198499288598042 0 1 1 2 45 0.899988696680588
"22" "panas.positive" "pseudo uridine" -0.276113253306116 -1.49625290399262 0.134587762887856 0 1 1 1 45 0.8555482670726
"23" "panas.positive" "proline" 0.0193214159769047 0.181076286859431 0.856307697248689 0 1 1 1 45 0.992060460347741
"24" "panas.positive" "phosphate" 0.204824888419643 1.17787675168154 0.238845744609899 0 1 1 2 45 0.954108573190714
"25" "panas.positive" "phenylethylamine" 0.217692661793177 1.50732559593299 0.131727219861209 0 1 1 1 45 0.8555482670726
"26" "panas.positive" "phenylalanine" -0.434566619929777 -3.35686805714912 0.00078830721670405 0 1 1 2 45 0.0933912196730563
"27" "panas.positive" "pelargonic acid" -0.058152844372762 -0.413419653031868 0.679299178112478 0 1 1 1 45 0.988132371342468
"28" "panas.positive" "parabanic acid" -0.0959084492309152 -0.636680194192237 0.524333177054224 0 1 1 1 45 0.985195155308122
"29" "panas.positive" "palmitoleic acid" -0.0918634500741779 -0.650632233818096 0.515283917445198 0 1 1 1 45 0.985195155308122
"30" "panas.positive" "palmitic acid" 0.255884500238629 1.79949863489577 0.0719398396638032 0 1 1 2 45 0.749053000275512
"31" "panas.positive" "p-cresol" 0.164575915936322 1.0761418209465 0.281863834473115 0 1 3 3 45 0.960530901233255
"32" "panas.positive" "oxoproline" -0.111931936093251 -0.725217321315081 0.468318718146911 0 1 1 1 45 0.985195155308122
"33" "panas.positive" "oxalic acid" 0.0470292135443842 0.336778166775194 0.736284132990808 0 1 1 1 45 0.989994033295404
"34" "panas.positive" "ornithine" -0.0654026835443489 -0.350040845202639 0.726308044331862 0 1 1 1 45 0.989994033295404
"35" "panas.positive" "oleic acid" 0.0109256417863857 0.0221463801159603 0.982331189553408 0 1 1 1 45 0.997232108500354
"36" "panas.positive" "nicotinic acid" -0.0674917896056616 -0.414787897297337 0.67829718014488 0 1 1 1 45 0.988132371342468
"37" "panas.positive" "N-methylalanine" -0.223888661682566 -1.86601677089478 0.0620390191481932 0 1 1 2 45 0.730184410451187
"38" "panas.positive" "N-acetylornithine" -0.119689986684605 0.400656968748589 0.688672696441474 0 1 1 2 45 0.989291591036468
"39" "panas.positive" "N-acetylmannosamine" -0.0716737134844062 -0.484636777431272 0.627934020743301 0 1 1 1 45 0.986844137936892
"40" "panas.positive" "N-acetylglycine" 0.112311559462665 0.762962629516526 0.445485683217677 0 1 1 1 45 0.985195155308122
"41" "panas.positive" "myristic acid" 0.156266591185027 1.00947065841318 0.312748966553182 0 1 1 1 45 0.962086959635296
"42" "panas.positive" "myo-inositol" -0.0812325466256141 -0.520465305501368 0.60273930337068 0 1 1 1 45 0.986844137936892
"43" "panas.positive" "methionine sulfoxide" 0.234316361760505 1.18745260194052 0.235049141939399 0 1 1 2 45 0.94867529432054
"44" "panas.positive" "methionine" -0.307455546315965 -1.89713895496882 0.0578096010674783 0 1 1 2 45 0.730184410451187
"45" "panas.positive" "methanolphosphate" 0.00530885567210257 0.00972947172264501 0.992237127203573 0 1 1 1 45 0.997232108500354
"46" "panas.positive" "mannose" -0.353263099123096 -2.52195518433774 0.0116704575568995 0 1 1 1 45 0.412356167010449
"47" "panas.positive" "malic acid" -0.176502566645874 -1.16785987737833 0.24286329064536 0 1 1 1 45 0.955145544405607
