"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "ME1:Hemostasis" "xylulose" -0.0571709045684706 -0.396739930995391 0.691559250939475 0 1 1 1 48 0.985486617772285
"2" "ME1:Hemostasis" "xylose" -0.119203581123429 -0.831796183655595 0.405523998410948 0 1 1 1 48 0.985486617772285
"3" "ME1:Hemostasis" "valine" 0.0722412231565679 0.309343222361757 0.75706045550215 0 1 1 2 48 0.985486617772285
"4" "ME1:Hemostasis" "uridine" 0.0250908544653947 0.173889011673111 0.861952688481996 0 1 1 1 48 0.98861965714118
"5" "ME1:Hemostasis" "uric acid" -0.431048036866684 -3.30963922629402 0.000934162938685649 0 1 1 1 48 0.16414226162116
"6" "ME1:Hemostasis" "urea" -0.065535220679176 0.233175091235628 0.815625447100137 0 1 3 2 48 0.985486617772285
"7" "ME1:Hemostasis" "tyrosine" -0.0872097144896214 -0.606516521741368 0.544171814594299 0 1 1 1 48 0.985486617772285
"8" "ME1:Hemostasis" "tryptophan" 0.0539978545804573 0.37465412599362 0.707917713354085 0 1 1 1 48 0.985486617772285
"9" "ME1:Hemostasis" "trans-4-hydroxyproline" 0.287237659387684 2.07758862098839 0.0377472651316997 0 1 1 1 48 0.640844496663377
"10" "ME1:Hemostasis" "tocopherol gamma-" -0.0625105981036302 -0.299774539298595 0.764349137365603 0 1 1 2 48 0.985486617772285
"11" "ME1:Hemostasis" "tocopherol alpha-" -0.00846035083737674 -0.0586170362031187 0.953257141086703 0 1 1 1 48 0.9972224232059
"12" "ME1:Hemostasis" "threonine" -0.125725400768229 -0.878016750966892 0.379934628351196 0 1 1 1 48 0.985486617772285
"13" "ME1:Hemostasis" "threonic acid " -0.246487868785751 -1.10265743133261 0.270175959507765 0 1 1 3 48 0.985486617772285
"14" "ME1:Hemostasis" "threitol" 0.0974165178703159 0.678145840292353 0.497679228295173 0 1 1 1 48 0.985486617772285
"15" "ME1:Hemostasis" "taurine" 0.106795495737063 0.744155557199542 0.456782371506833 0 1 1 1 48 0.985486617772285
"16" "ME1:Hemostasis" "sucrose" 0.408297055990452 3.0988256620808 0.00194289310664618 0 1 1 1 48 0.233909110680117
"17" "ME1:Hemostasis" "succinic acid" -0.113782040871139 -0.79345678313219 0.427511738864497 0 1 1 1 48 0.985486617772285
"18" "ME1:Hemostasis" "stearic acid" 0.0674380526718942 0.197556575916589 0.843392012497959 0 1 1 2 48 0.98861965714118
"19" "ME1:Hemostasis" "shikimic acid" 0.0533477363998883 0.370130448507709 0.711285296000174 0 1 1 1 48 0.985486617772285
"20" "ME1:Hemostasis" "serine" -0.0507109123842219 -0.351787576161749 0.724997576546033 0 1 1 1 48 0.985486617772285
"21" "ME1:Hemostasis" "pyrophosphate" 0.126349606322859 0.724030022534393 0.469047303630165 0 1 1 2 48 0.985486617772285
"22" "ME1:Hemostasis" "pseudo uridine" 0.0920579108817994 0.228001374935091 0.819645171629487 0 1 1 1 48 0.985522430755481
"23" "ME1:Hemostasis" "proline" 0.0162946346815532 0.112907354380939 0.910104005665776 0 1 1 1 48 0.991943970262154
"24" "ME1:Hemostasis" "phosphate" -0.141129482030893 -0.730572076127457 0.465040573337152 0 1 1 2 48 0.985486617772285
"25" "ME1:Hemostasis" "phenylethylamine" 0.0479844942886752 0.332829200435819 0.739263214919945 0 1 1 1 48 0.985486617772285
"26" "ME1:Hemostasis" "phenylalanine" -0.113469681028784 -0.791250097009529 0.428798062793633 0 1 1 1 48 0.985486617772285
"27" "ME1:Hemostasis" "pelargonic acid" 0.0379162470793236 0.262880086159478 0.792643005584317 0 1 1 1 48 0.985486617772285
"28" "ME1:Hemostasis" "parabanic acid" 0.0453845709803179 0.314757368524904 0.752945882594659 0 1 1 1 48 0.985486617772285
"29" "ME1:Hemostasis" "palmitoleic acid" -0.0727607316513656 -0.505440053063583 0.613249793009657 0 1 1 1 48 0.985486617772285
"30" "ME1:Hemostasis" "palmitic acid" 0.0298483203335403 0.0659167916744806 0.947444071834788 0 1 1 2 48 0.99654758469453
"31" "ME1:Hemostasis" "p-cresol" 0.121882525316916 0.796049266562685 0.426003400492961 0 1 1 2 48 0.985486617772285
"32" "ME1:Hemostasis" "oxoproline" -0.026748717917206 -0.185386597357872 0.852925819975903 0 1 1 1 48 0.98861965714118
