"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "1_DMN-2_Visual_2" "modularity_weighted" 0.0904778007468951 0.832656983050535 0.405038211738796 0 1 1 1 84 0.910215570979829
"2" "1_DMN-2_Visual_2" "efficiency_weighted" -0.0877589483616694 -0.0490305597937998 0.96089494202619 -0.0191528663139471 0.984719157929735 1 1 84 0.99871129586088
"3" "1_DMN-3_Frontoparietal_1" "modularity_weighted" 0.048097691627235 0.441332918262192 0.658971998248915 0 1 1 1 84 0.970008069982996
"4" "1_DMN-3_Frontoparietal_1" "efficiency_weighted" 0.189033251787182 0.0975928239998437 0.922255622923435 -0.0194840146437453 0.984454989090048 1 1 84 0.99871129586088
"5" "1_DMN-4.5_Visual_1" "modularity_weighted" -0.18121096656244 -1.6887831486584 0.0912609943255582 0 1 1 1 84 0.313542584692523
"6" "1_DMN-4.5_Visual_1" "efficiency_weighted" -0.0635043774592107 0.0910421179429883 0.927459124720147 -0.0177028346244639 0.985875919299655 1 1 84 0.99871129586088
"7" "1_DMN-5_Dorsal_Attention" "modularity_weighted" 0.0120608348736079 -0.00610467036596534 0.995129208019525 0 1 2 1 84 0.99871129586088
"8" "1_DMN-5_Dorsal_Attention" "efficiency_weighted" -0.0492504624567823 0.00802390967464089 0.993597915051109 -0.0193826344666892 0.984535863495341 1 1 84 0.99871129586088
"9" "1_DMN-7_Ventral_Attention" "modularity_weighted" -0.0569036329508544 -0.522376249998601 0.601408388812251 0 1 1 1 84 0.945070325276394
"10" "1_DMN-7_Ventral_Attention" "efficiency_weighted" -0.181765009679117 -0.235848113151095 0.813550532168196 -0.0195342638324964 0.984414903667267 1 1 84 0.99871129586088
"11" "1_DMN-8_Salience" "modularity_weighted" 0.123008451844767 1.13601716610577 0.255949380077171 0 1 1 1 84 0.662457219023266
"12" "1_DMN-8_Salience" "efficiency_weighted" 0.116674923665743 0.765358185401169 0.444058285098659 -0.0134275575357204 0.98928668108791 1 1 84 0.924731759337039
"13" "1_DMN-9_Cingulo_opercular" "modularity_weighted" -0.0135672607883334 -0.124357306849556 0.901032375083282 0 1 1 1 84 0.99871129586088
"14" "1_DMN-9_Cingulo_opercular" "efficiency_weighted" -0.125775451529669 -0.551253191366156 0.58146012140132 -0.0168117968317195 0.986586758716883 1 1 84 0.924731759337039
"15" "1_DMN-10_Somatomotor" "modularity_weighted" 0.0626612927862628 0.575430403107457 0.565000247130271 0 1 1 1 84 0.924731759337039
"16" "1_DMN-10_Somatomotor" "efficiency_weighted" -0.0351228185385317 0.0553765876791618 0.955838447536124 -0.0196557823295422 0.98431796454708 1 1 84 0.99871129586088
"17" "1_DMN-11.5_Frontoparietal_2" "modularity_weighted" 0.118009385261499 1.08918336423699 0.276073033480844 0 1 1 1 84 0.700800777297527
"18" "1_DMN-11.5_Frontoparietal_2" "efficiency_weighted" 0.018042834065545 0.115291162945177 0.908214342603984 -0.0183885261442438 0.985328905707068 1 1 84 0.99871129586088
"19" "1_DMN-15_Medial_Parietal" "modularity_weighted" 0.0102483306501773 0.0939323305682749 0.925162911290883 0 1 1 1 84 0.99871129586088
"20" "1_DMN-15_Medial_Parietal" "efficiency_weighted" 0.0717014095429899 0.0106859961016928 0.99147397095924 -0.0193261501286902 0.984580923036278 1 1 84 0.99871129586088
"21" "1_DMN-16_Parieto_occipital" "modularity_weighted" 0.187138985395766 1.74600101797888 0.0808107749502511 0 1 1 1 84 0.288297899822517
"22" "1_DMN-16_Parieto_occipital" "efficiency_weighted" 0.0738735971136244 0.587057457815706 0.557165118060662 -0.0171370076637346 0.986327315395593 1 1 84 0.924731759337039
"23" "2_Visual_2-3_Frontoparietal_1" "modularity_weighted" -0.42447062921937 -4.50347362840459 6.68516668749773e-06 0 1 2 1 84 9.85382719300291e-05
"24" "2_Visual_2-3_Frontoparietal_1" "efficiency_weighted" -0.604767389592941 -6.94167017763196 3.87491064875625e-12 0 1 2 1 84 2.55744102817912e-10
"25" "2_Visual_2-4.5_Visual_1" "modularity_weighted" 0.199182241632078 1.86286046521912 0.0624819003327331 0 1 1 1 84 0.235646024112022
"26" "2_Visual_2-4.5_Visual_1" "efficiency_weighted" 0.141315673059169 1.36475914092622 0.172328764734899 0 1 2 1 84 0.508076577198739
"27" "2_Visual_2-5_Dorsal_Attention" "modularity_weighted" -0.0105104387225959 -0.0963349763392929 0.923254533155151 0 1 1 1 84 0.99871129586088
"28" "2_Visual_2-5_Dorsal_Attention" "efficiency_weighted" 0.158225552419605 0.510181630907832 0.609924220025315 -0.0163502704943805 0.986954952835174 1 1 84 0.947176435804019
