"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "almonds" "1:Default" -0.15879253211841 -1.28709719179761 0.198060414133623 0 1 2 1 73 0.998975101754086
"2" "almonds" "2:Visual_2" 0.119658492414088 0.0382113046226668 0.969519207693993 0.00456890583531808 0.996354553257298 1 1 73 0.998975101754086
"3" "almonds" "3:Fronto_Parietal" -0.0303222682887826 -0.280722295096126 0.778923407082243 0 1 2 1 73 0.998975101754086
"4" "almonds" "4.5:Visual_1" 0.154927221485024 1.31146140055605 0.189701926354843 0 1 2 1 73 0.998975101754086
"5" "almonds" "5:Dorsal_Attention" -0.00169950061051522 -0.0145205431750324 0.988414689907319 0 1 1 1 73 0.998975101754086
"6" "almonds" "7:Ventral_Attention" 0.0745467017449148 -0.210413933183043 0.83334461896036 -0.00814023836991939 0.993505101212566 1 1 73 0.998975101754086
"7" "almonds" "8:Salience" -0.0171278702168029 -0.163575739955245 0.870065144143069 0 1 2 1 73 0.998975101754086
"8" "almonds" "9:Cingulo_opercular" -0.0473083633844562 -0.516767269882654 0.605318630516373 0 1 2 1 73 0.998975101754086
"9" "almonds" "10:Somatomotor" 0.0269976050426494 -0.301043743748165 0.76338113810286 0.0263480951225199 0.978979693850216 1 1 73 0.998975101754086
"10" "almonds" "11.5:Fronto_Parietal_2" 0.0821096463770348 0.798038125561305 0.424848365815501 0 1 2 1 73 0.998975101754086
"11" "almonds" "15:Medial_Parietal" 0.0574095368060166 0.516316801461486 0.60563316344782 0 1 2 1 73 0.998975101754086
"12" "almonds" "16:Parieto_Occipital" -0.0256772733928646 -0.367842491681801 0.712990683154466 0 1 2 1 73 0.998975101754086
"13" "apples" "1:Default" 0.0258502340183286 0.21921370083057 0.826483583313959 0 1 2 1 73 0.998975101754086
"14" "apples" "2:Visual_2" -0.0333670111143839 -0.429165732598086 0.6678026187869 0 1 2 1 73 0.998975101754086
"15" "apples" "3:Fronto_Parietal" -0.0256245265296425 -0.217142810193611 0.828097052082086 0 1 2 1 73 0.998975101754086
"16" "apples" "4.5:Visual_1" 0.0558720613353077 0.478117325829516 0.632566701122041 0 1 1 1 73 0.998975101754086
"17" "apples" "5:Dorsal_Attention" 0.038028846162815 0.325153422938666 0.745064958023439 0 1 1 1 73 0.998975101754086
"18" "apples" "7:Ventral_Attention" 0.267372550888614 8.02679230217558e-06 0.999993595546349 0 1 1 1 8 0.999993595546349
"19" "apples" "8:Salience" 0.0450714904303033 0.372786929130585 0.709307031811551 0 1 2 1 73 0.998975101754086
"20" "apples" "9:Cingulo_opercular" -0.0374167663795116 -0.252054573532155 0.800998881582551 0 1 2 1 73 0.998975101754086
"21" "apples" "10:Somatomotor" 0.0486237467357409 0.414432193800151 0.678557615691507 0 1 2 1 73 0.998975101754086
"22" "apples" "11.5:Fronto_Parietal_2" -0.0473243940790122 -0.352987304217034 0.724097958454679 0 1 2 1 73 0.998975101754086
"23" "apples" "15:Medial_Parietal" 0.177025544249038 1.53934531435934 0.123720016833119 0 1 2 1 73 0.998975101754086
"24" "apples" "16:Parieto_Occipital" -0.00517981612881587 0.0150837675222922 0.987965351130924 0 1 2 1 73 0.998975101754086
"25" "avocado" "1:Default" -0.107548129180461 -1.0395612031761 0.298543809554425 0 1 2 1 73 0.998975101754086
"26" "avocado" "2:Visual_2" -0.0436343785916476 0.584234105691682 0.559062818415884 0.00460020413751398 0.996329581087634 1 1 73 0.998975101754086
"27" "avocado" "3:Fronto_Parietal" 0.0193641397227348 0.178155900000427 0.858600542298806 0 1 2 1 73 0.998975101754086
"28" "avocado" "4.5:Visual_1" -0.0600328808073528 -0.473617499137804 0.635772694474359 0 1 2 1 73 0.998975101754086
"29" "avocado" "5:Dorsal_Attention" 0.139082344077275 1.17883473588633 0.238463989693385 0 1 2 1 73 0.998975101754086
"30" "avocado" "7:Ventral_Attention" -0.190431269694384 0.100569076107605 0.919892545904052 -0.00811688384397073 0.993523734812641 1 1 73 0.998975101754086
"31" "avocado" "8:Salience" 0.230064033969979 2.18446691375718 0.0289279559485984 0 1 2 1 73 0.851488575776305
"32" "avocado" "9:Cingulo_opercular" -0.0112239106864402 0.0877673249182717 0.930061608451967 0 1 2 1 73 0.998975101754086
"33" "avocado" "10:Somatomotor" -0.0153514826992725 0.628292720697873 0.529812199347788 0.0270708729599401 0.978403206254198 1 1 73 0.998975101754086
"34" "avocado" "11.5:Fronto_Parietal_2" -0.128822111886764 -0.516040747994361 0.605825949868918 0 1 2 1 73 0.998975101754086
"35" "avocado" "15:Medial_Parietal" 0.333682414874577 3.08735858080791 0.00201943834073294 0 1 2 1 73 0.666776117771044
"36" "avocado" "16:Parieto_Occipital" -0.0228594505613858 -0.329729790304879 0.741604142030597 0 1 2 1 73 0.998975101754086
"37" "bacon" "1:Default" 0.214479903199705 1.83715980049967 0.0661863082026695 0 1 2 1 73 0.998975101754086
"38" "bacon" "2:Visual_2" -0.0939331312363869 -0.827518580017235 0.407943195440965 0 1 2 1 73 0.998975101754086
"39" "bacon" "3:Fronto_Parietal" -0.0697510244367918 -0.583933507737771 0.559265048356291 0 1 2 1 73 0.998975101754086
"40" "bacon" "4.5:Visual_1" -0.0269991790386716 -0.230764912412302 0.817497441380644 0 1 1 1 73 0.998975101754086
"41" "bacon" "5:Dorsal_Attention" 0.0138382205393024 0.23020950510091 0.817928976198463 0 1 2 1 73 0.998975101754086
"42" "bacon" "7:Ventral_Attention" 0.074455741422705 0.568811998491113 0.569483731170881 0 1 2 1 73 0.998975101754086
"43" "bacon" "8:Salience" 0.138511394452214 1.25014827041935 0.211245389439853 0 1 2 1 73 0.998975101754086
"44" "bacon" "9:Cingulo_opercular" 0.060588229169373 0.941056222452616 0.346676048163303 0 1 2 1 73 0.998975101754086
"45" "bacon" "10:Somatomotor" 0.0601261507855256 0.540794682895645 0.588649108126813 0 1 2 1 73 0.998975101754086
"46" "bacon" "11.5:Fronto_Parietal_2" 0.0510172304059638 0.247930463229088 0.804188209357588 0 1 2 1 73 0.998975101754086
"47" "bacon" "15:Medial_Parietal" -0.0376142128733749 -0.291254252860065 0.7708568723524 0 1 2 1 73 0.998975101754086
"48" "bacon" "16:Parieto_Occipital" -0.0111594557171839 -0.00567351337561365 0.995473215557361 0 1 2 1 73 0.998975101754086
"49" "beef" "1:Default" 0.108143917984235 0.823696939951848 0.410111778603701 0 1 2 1 73 0.998975101754086
"50" "beef" "2:Visual_2" -0.0617876060237827 -0.137104943950772 0.890947844668075 0.00457054785260926 0.996353243130732 1 1 73 0.998975101754086
"51" "beef" "3:Fronto_Parietal" -0.171573356782149 -1.47336878832874 0.140651621538297 0 1 2 1 73 0.998975101754086
"52" "beef" "4.5:Visual_1" -0.122441043140397 -1.00369190842763 0.315527138447671 0 1 2 1 73 0.998975101754086
"53" "beef" "5:Dorsal_Attention" 0.0764725675229466 0.739191625976053 0.459790645046624 0 1 2 1 73 0.998975101754086
"54" "beef" "7:Ventral_Attention" 0.152772432773354 0.0931764465889797 0.925763385871228 -0.00811589188996648 0.993524526251357 1 1 73 0.998975101754086
"55" "beef" "8:Salience" -0.103348905509329 -0.846729041185007 0.397146167644604 0 1 2 1 73 0.998975101754086
"56" "beef" "9:Cingulo_opercular" -0.0933859354291869 -0.270840528206016 0.786513687416298 0 1 2 1 73 0.998975101754086
"57" "beef" "10:Somatomotor" -0.157233110949214 -0.785696323225495 0.432045417788964 0.0275461814295134 0.97802410635258 1 1 73 0.998975101754086
"58" "beef" "11.5:Fronto_Parietal_2" 0.124299323349322 1.4274223083353 0.153458204423074 0 1 2 1 73 0.998975101754086
"59" "beef" "15:Medial_Parietal" -0.209445594359895 -1.81786384898174 0.0690849448907945 0 1 2 1 73 0.998975101754086
"60" "beef" "16:Parieto_Occipital" 0.102805182269063 0.886047902012874 0.375591715012552 0 1 2 1 73 0.998975101754086
"61" "beets" "1:Default" -0.0507791173252387 -0.383968362577211 0.701001896487987 0 1 2 1 73 0.998975101754086
"62" "beets" "2:Visual_2" 0.0883142048922929 0.386162699181455 0.699376176941893 0.00457476487766265 0.996349878466726 1 1 73 0.998975101754086
"63" "beets" "3:Fronto_Parietal" 0.110249429280422 1.02614393589803 0.30482374319305 0 1 2 1 73 0.998975101754086
"64" "beets" "4.5:Visual_1" -0.109685557254254 -1.0551840144205 0.291341173712005 0 1 2 1 73 0.998975101754086
"65" "beets" "5:Dorsal_Attention" -0.124970296576821 -1.07618215326471 0.281845799741653 0 1 1 1 73 0.998975101754086
"66" "beets" "7:Ventral_Attention" -0.0532962698593767 0.15503950500494 0.876790173341435 -0.00812630015907081 0.993516221927983 1 1 73 0.998975101754086
"67" "beets" "8:Salience" 0.0545794856031019 0.457126508734876 0.647580117629516 0 1 2 1 73 0.998975101754086
