"xvar" "yvar" "cor.val" "t.arima" "arima.p" "t.drift" "drift.p" "AR" "MA" "nobs" "pval_bh"
"1" "Abx" "modularity_weighted" 0.231376071921774 2.35905868258197 0.0183213582856622 0 1 1 2 39 0.549640748569866
"2" "Abx" "efficiency_weighted" 0.103871297808184 0.333222483125056 0.738966347927888 0 1 1 1 39 0.930911569976571
"3" "Agprocess" "modularity_weighted" 0.00831144924080513 0.660503527872144 0.508930755305915 0 1 1 2 39 0.930911569976571
"4" "Agprocess" "efficiency_weighted" -0.147898558119918 -0.57471405898063 0.565484697637158 0 1 1 1 39 0.930911569976571
"5" "BCRsig" "modularity_weighted" 0.222220661664236 1.02081807204151 0.307340640576116 0 1 1 2 39 0.930911569976571
"6" "BCRsig" "efficiency_weighted" 0.261422580526427 0.738793306530319 0.460032516892306 0 1 2 1 39 0.930911569976571
"7" "Cmkn" "modularity_weighted" 0.0294881766671487 0.707808903707966 0.479063936404818 0 1 1 2 39 0.930911569976571
"8" "Cmkn" "efficiency_weighted" 0.0219808805631589 1.42749505978615 0.153437248143361 0 1 1 1 39 0.930911569976571
"9" "CmknR" "modularity_weighted" 0.00154302507977294 0.831332118408074 0.405786035050066 0 1 1 2 39 0.930911569976571
"10" "CmknR" "efficiency_weighted" -0.135366284396597 -0.227960152404353 0.819677218707272 0 1 2 1 39 0.937516321385274
"11" "IFN" "modularity_weighted" 0.0994478788830689 0.98830206162156 0.323004736055973 0 1 1 2 39 0.930911569976571
"12" "IFN" "efficiency_weighted" 0.101150620399671 1.28360371152751 0.199280650445892 0 1 1 1 39 0.930911569976571
"13" "IFNR" "modularity_weighted" 0.0609101665577317 0.652352971551237 0.514173495155487 0 1 1 2 39 0.930911569976571
"14" "IFNR" "efficiency_weighted" -0.0755867573686005 0.491298293827263 0.623215486420996 0 1 1 1 39 0.930911569976571
"15" "IL" "modularity_weighted" 0.00706692795103185 0.325597034743724 0.744729255981257 0 1 1 2 39 0.930911569976571
"16" "IL" "efficiency_weighted" 0.0927622659013283 1.87214660035313 0.0611863244354625 0 1 1 1 39 0.917794866531938
"17" "ILR" "modularity_weighted" -0.0513951313346144 -0.26606453355691 0.790189508899309 0 1 1 2 39 0.937516321385274
"18" "ILR" "efficiency_weighted" -0.120843813972666 1.60413060936014 0.108685266094608 0 1 1 1 39 0.930911569976571
"19" "Nkcyto" "modularity_weighted" -0.0615596491751146 0.423279379459455 0.672091437242207 0 1 1 2 39 0.930911569976571
"20" "Nkcyto" "efficiency_weighted" -0.178180029302126 -0.39276501338601 0.69449304754824 0 1 2 1 39 0.930911569976571
"21" "TCRsig" "modularity_weighted" -0.028236117884864 -0.36983895988428 0.711502484422183 0 1 1 2 39 0.930911569976571
"22" "TCRsig" "efficiency_weighted" 0.0595578721464589 -0.0682430963296735 0.945592121003084 0 1 1 1 39 0.945592121003084
"23" "TGFb" "modularity_weighted" -0.0724241915329434 -0.53313451733071 0.593940466605855 0 1 1 2 39 0.930911569976571
"24" "TGFb" "efficiency_weighted" -0.116686391459202 0.0908707281471834 0.927595309492065 0 1 1 1 39 0.945592121003084
"25" "TGFbR" "modularity_weighted" 0.177030809486214 1.20010937933989 0.230096863346212 0 1 1 2 39 0.930911569976571
"26" "TGFbR" "efficiency_weighted" 0.282023339619986 -0.136165210628247 0.891690676865563 0 1 1 1 39 0.945592121003084
"27" "TNF" "modularity_weighted" 0.14431261012964 0.843382402800866 0.39901461034227 0 1 1 2 39 0.930911569976571
"28" "TNF" "efficiency_weighted" 0.0621395903691096 0.963196520187155 0.3354489110988 0 1 1 1 39 0.930911569976571
"29" "TNFR" "modularity_weighted" -0.103082026537945 -0.49522101696963 0.620444116622189 0 1 1 2 39 0.930911569976571
"30" "TNFR" "efficiency_weighted" -0.178166864007078 -0.197080312991836 0.843764689246747 0 1 1 1 39 0.937516321385274
